quoteId,supplierName,materialName,unitPrice,quantity,totalPrice,deliveryDays,region,quoteDate,fileType,riskStatus,riskReason
Q00765,BuildCo,Steel,239.62,455,109027.48,5,New York,2025-10-27,PDF,Anomaly,Unit price is unusually low
Q00089,Prime Industrial,Steel,902.11,91,82092.05,8,Ontario,2026-02-04,Excel,Normal,Quote is within expected range
Q00064,RapidSupply,Steel,1009.91,357,360536.58,15,New York,2025-12-06,PDF,Normal,Quote is within expected range
Q00827,Maple Materials,Concrete,253.82,1399,355089.42,3,New York,2025-07-21,Excel,Anomaly,Large order has unexpectedly high unit price
Q00717,RapidSupply,Copper,9145.08,40,365803.13,22,Quebec,2026-02-03,PDF,Normal,Quote is within expected range
Q00352,RapidSupply,Concrete,250.43,1192,298513.56,7,New York,2025-07-14,CSV,Normal,Quote is within expected range
Q00937,XYZ Materials,Wood,91.89,806,74066.0,7,Ontario,2025-09-12,Excel,Anomaly,Large order has unexpectedly high unit price
Q00257,RapidSupply,Concrete,219.47,1344,294963.61,10,Quebec,2025-01-16,PDF,Normal,Quote is within expected range
Q00636,NorthSteel,Aluminum,1163.08,291,338455.71,7,Quebec,2026-01-21,Excel,Normal,Quote is within expected range
Q00645,NorthSteel,Aluminum,1475.47,342,504611.01,17,Michigan,2025-07-18,CSV,Normal,Quote is within expected range
Q00555,ABC Suppliers,Wood,75.86,762,57804.83,4,Ontario,2025-08-31,PDF,Normal,Quote is within expected range
Q00960,Prime Industrial,Aluminum,2371.28,233,552507.1,22,Quebec,2025-10-21,PDF,Anomaly,Unit price is much higher than expected
Q00169,Maple Materials,Steel,943.6,429,404806.36,12,New York,2025-01-17,Excel,Normal,Quote is within expected range
Q00918,XYZ Materials,Wood,81.44,808,65806.97,47,Michigan,2025-05-22,CSV,Anomaly,Delivery time is unusually long
Q00529,NorthSteel,Wood,73.16,163,11925.33,14,Quebec,2025-05-18,Excel,Normal,Quote is within expected range
Q00824,Maple Materials,Steel,291.24,217,63199.05,11,Michigan,2025-08-31,PDF,Anomaly,Unit price is unusually low
Q00986,BuildCo,Copper,15498.86,38,588956.62,34,Michigan,2025-06-23,Excel,Anomaly,High price and slow delivery
Q00817,RapidSupply,Steel,375.49,261,98004.14,15,Michigan,2025-10-05,PDF,Anomaly,Unit price is unusually low
Q00087,BudgetSource,Steel,956.73,334,319547.16,11,New York,2025-06-22,CSV,Normal,Quote is within expected range
Q00433,RapidSupply,Wood,79.78,691,55126.99,11,New York,2025-06-22,Excel,Normal,Quote is within expected range
Q00185,Maple Materials,Steel,935.45,370,346116.2,15,Michigan,2026-01-09,PDF,Normal,Quote is within expected range
Q00979,ABC Suppliers,Copper,3318.19,126,418092.19,12,Quebec,2025-06-30,CSV,Anomaly,Unit price is unusually low
Q00535,Maple Materials,Wood,66.35,954,63293.24,9,Quebec,2025-11-18,PDF,Normal,Quote is within expected range
Q00295,Maple Materials,Concrete,184.71,1388,256378.21,10,New York,2026-02-12,Excel,Normal,Quote is within expected range
Q00893,Prime Industrial,Wood,115.4,877,101209.41,7,Quebec,2025-08-06,Excel,Anomaly,Large order has unexpectedly high unit price
Q00426,XYZ Materials,Wood,96.36,160,15417.72,14,Quebec,2026-01-20,CSV,Normal,Quote is within expected range
Q00714,XYZ Materials,Copper,8719.31,100,871930.66,25,Quebec,2025-09-01,CSV,Normal,Quote is within expected range
Q00261,ABC Suppliers,Concrete,154.6,892,137901.76,4,Quebec,2025-09-13,Excel,Normal,Quote is within expected range
Q00238,BudgetSource,Concrete,176.35,262,46203.81,6,Michigan,2025-11-12,PDF,Normal,Quote is within expected range
Q00560,NorthSteel,Wood,65.52,771,50518.63,14,New York,2025-05-22,CSV,Normal,Quote is within expected range
Q00584,XYZ Materials,Aluminum,2190.87,98,214705.62,7,New York,2025-08-31,Excel,Normal,Quote is within expected range
Q00446,Maple Materials,Wood,87.92,910,80008.12,8,New York,2025-08-08,CSV,Normal,Quote is within expected range
Q00868,RapidSupply,Concrete,340.56,159,54148.34,31,Michigan,2025-01-26,PDF,Anomaly,High price and slow delivery
Q00801,XYZ Materials,Steel,886.71,483,428282.92,53,Ontario,2025-12-10,CSV,Anomaly,Delivery time is unusually long
Q00600,RapidSupply,Aluminum,1943.23,288,559649.54,14,Ontario,2025-12-27,Excel,Normal,Quote is within expected range
Q00850,Prime Industrial,Concrete,195.55,783,153111.93,44,Michigan,2025-07-31,PDF,Anomaly,Delivery time is unusually long
Q00266,Prime Industrial,Concrete,152.02,584,88780.75,3,Ontario,2025-04-13,PDF,Normal,Quote is within expected range
Q00996,Maple Materials,Copper,12840.78,198,2542474.54,13,Quebec,2025-10-12,CSV,Anomaly,Large order has unexpectedly high unit price
Q00530,XYZ Materials,Wood,62.97,927,58375.64,13,Ontario,2025-12-09,CSV,Normal,Quote is within expected range
Q00056,BuildCo,Steel,1104.58,304,335793.49,16,New York,2026-02-05,CSV,Normal,Quote is within expected range
Q00121,NorthSteel,Steel,958.1,361,345873.34,9,Michigan,2025-03-05,CSV,Normal,Quote is within expected range
Q00216,BuildCo,Steel,1131.97,401,453918.7,6,Ontario,2025-08-19,PDF,Normal,Quote is within expected range
Q00026,RapidSupply,Steel,1129.49,173,195401.86,6,Michigan,2025-09-22,CSV,Normal,Quote is within expected range
Q00073,Maple Materials,Steel,910.98,580,528366.09,13,Quebec,2025-04-01,Excel,Normal,Quote is within expected range
Q00045,XYZ Materials,Steel,825.29,568,468765.55,10,Ontario,2025-10-03,PDF,Normal,Quote is within expected range
Q00248,ABC Suppliers,Concrete,171.05,508,86894.11,8,New York,2025-04-14,PDF,Normal,Quote is within expected range
Q00722,BudgetSource,Copper,6999.19,13,90989.43,19,New York,2025-12-19,PDF,Normal,Quote is within expected range
Q00282,ABC Suppliers,Concrete,200.13,956,191326.69,5,New York,2025-07-16,Excel,Normal,Quote is within expected range
Q00894,NorthSteel,Wood,167.44,475,79535.9,13,Michigan,2025-10-07,Excel,Anomaly,Unit price is much higher than expected
Q00915,Prime Industrial,Wood,145.91,134,19552.45,4,New York,2025-05-09,PDF,Anomaly,Unit price is much higher than expected
Q00811,XYZ Materials,Steel,1519.18,594,902391.27,13,New York,2025-09-06,Excel,Anomaly,Unit price is much higher than expected
Q00245,NorthSteel,Concrete,142.31,806,114703.97,4,Ontario,2025-07-02,PDF,Normal,Quote is within expected range
Q00823,BudgetSource,Steel,1013.7,530,537259.77,42,Quebec,2025-09-15,Excel,Anomaly,Delivery time is unusually long
Q00322,BudgetSource,Concrete,174.5,1129,197006.09,7,New York,2025-03-23,CSV,Normal,Quote is within expected range
Q00644,ABC Suppliers,Aluminum,1168.07,305,356262.03,14,Quebec,2026-02-11,CSV,Normal,Quote is within expected range
Q00159,Maple Materials,Steel,834.74,424,353930.01,9,Quebec,2025-04-13,PDF,Normal,Quote is within expected range
Q00978,BuildCo,Copper,12899.76,68,877183.64,39,New York,2025-03-29,CSV,Anomaly,High price and slow delivery
Q00430,Maple Materials,Wood,54.58,565,30835.32,9,New York,2025-12-22,CSV,Normal,Quote is within expected range
Q00942,BuildCo,Aluminum,2549.65,23,58641.91,9,Ontario,2025-09-07,PDF,Anomaly,Unit price is much higher than expected
Q00463,XYZ Materials,Wood,68.59,468,32097.98,13,Michigan,2025-08-22,Excel,Normal,Quote is within expected range
Q00310,ABC Suppliers,Concrete,169.44,1074,181979.21,6,Quebec,2025-07-28,Excel,Normal,Quote is within expected range
Q00698,BuildCo,Copper,8666.04,33,285979.29,22,Michigan,2025-11-22,PDF,Normal,Quote is within expected range
Q00061,ABC Suppliers,Steel,923.04,403,371985.56,10,Ontario,2025-11-02,CSV,Normal,Quote is within expected range
Q00885,Maple Materials,Concrete,245.1,1386,339711.67,5,New York,2025-02-15,Excel,Anomaly,Large order has unexpectedly high unit price
Q00596,BudgetSource,Aluminum,1446.92,77,111412.78,8,Michigan,2025-11-29,PDF,Normal,Quote is within expected range
Q00768,RapidSupply,Steel,1901.33,247,469628.51,10,New York,2026-02-17,CSV,Anomaly,Unit price is much higher than expected
Q00650,BuildCo,Aluminum,1930.3,351,677534.55,7,New York,2025-12-13,Excel,Normal,Quote is within expected range
Q00651,BuildCo,Aluminum,1963.52,313,614581.33,9,Ontario,2025-01-22,PDF,Normal,Quote is within expected range
Q00866,NorthSteel,Concrete,230.87,1177,271738.19,8,Ontario,2025-01-08,Excel,Anomaly,Large order has unexpectedly high unit price
Q00669,RapidSupply,Aluminum,1220.71,125,152588.33,18,Quebec,2025-01-22,Excel,Normal,Quote is within expected range
Q00299,Maple Materials,Concrete,210.01,227,47671.99,11,Michigan,2026-01-12,Excel,Normal,Quote is within expected range
Q00690,NorthSteel,Copper,8398.61,11,92384.72,7,Michigan,2025-05-12,PDF,Normal,Quote is within expected range
Q00315,BudgetSource,Concrete,192.73,658,126816.53,4,Quebec,2025-09-16,CSV,Normal,Quote is within expected range
Q00311,NorthSteel,Concrete,177.0,221,39117.46,4,New York,2025-05-27,Excel,Normal,Quote is within expected range
Q00362,BudgetSource,Concrete,188.08,1189,223623.35,3,Michigan,2025-01-09,PDF,Normal,Quote is within expected range
Q00480,RapidSupply,Wood,109.36,339,37071.88,7,New York,2025-08-20,CSV,Normal,Quote is within expected range
Q00111,RapidSupply,Steel,782.35,539,421688.91,6,Quebec,2025-01-27,CSV,Normal,Quote is within expected range
Q00990,Prime Industrial,Copper,12819.71,153,1961415.02,18,Michigan,2025-06-12,Excel,Anomaly,Large order has unexpectedly high unit price
Q00487,BudgetSource,Wood,57.05,224,12778.62,7,Ontario,2026-02-16,PDF,Normal,Quote is within expected range
Q00364,BuildCo,Concrete,201.07,404,81231.73,12,Ontario,2025-02-19,Excel,Normal,Quote is within expected range
Q00255,BudgetSource,Concrete,124.45,1009,125569.16,3,Michigan,2025-03-27,Excel,Normal,Quote is within expected range
Q00260,BuildCo,Concrete,217.71,1430,311331.44,4,New York,2025-07-23,CSV,Normal,Quote is within expected range
Q00803,RapidSupply,Steel,2079.9,501,1042030.92,8,Michigan,2025-11-16,PDF,Anomaly,Unit price is much higher than expected
Q00678,Prime Industrial,Copper,9697.5,15,145462.57,11,Quebec,2025-11-28,CSV,Normal,Quote is within expected range
Q00495,NorthSteel,Wood,94.38,304,28690.52,12,Michigan,2025-03-12,CSV,Normal,Quote is within expected range
Q00671,XYZ Materials,Aluminum,1815.37,316,573657.2,12,New York,2026-01-15,CSV,Normal,Quote is within expected range
Q00378,XYZ Materials,Concrete,179.94,1398,251553.34,9,New York,2025-03-20,CSV,Normal,Quote is within expected range
Q00527,BudgetSource,Wood,45.27,657,29739.44,9,New York,2025-02-16,Excel,Normal,Quote is within expected range
Q00846,ABC Suppliers,Concrete,250.82,1169,293212.95,12,Ontario,2025-10-20,Excel,Anomaly,Large order has unexpectedly high unit price
Q00138,BudgetSource,Steel,792.57,545,431952.72,13,Quebec,2025-08-17,Excel,Normal,Quote is within expected range
Q00356,NorthSteel,Concrete,145.0,571,82792.31,6,Quebec,2025-04-11,CSV,Normal,Quote is within expected range
Q00366,BudgetSource,Concrete,160.14,714,114341.12,4,Quebec,2025-12-23,PDF,Normal,Quote is within expected range
Q00943,NorthSteel,Aluminum,482.46,374,180441.57,15,Michigan,2025-12-22,CSV,Anomaly,Unit price is unusually low
Q00750,BudgetSource,Copper,6710.35,84,563669.41,7,New York,2025-01-05,CSV,Normal,Quote is within expected range
Q00949,BudgetSource,Aluminum,2021.15,322,650810.04,7,Ontario,2025-02-23,Excel,Anomaly,Large order has unexpectedly high unit price
Q00830,NorthSteel,Concrete,265.68,1152,306059.46,5,Michigan,2025-03-27,CSV,Anomaly,Large order has unexpectedly high unit price
Q00657,XYZ Materials,Aluminum,1558.83,250,389707.57,16,Quebec,2025-06-12,CSV,Normal,Quote is within expected range
Q00200,ABC Suppliers,Steel,847.37,266,225400.41,9,Ontario,2025-04-15,CSV,Normal,Quote is within expected range
Q00214,XYZ Materials,Steel,1025.39,569,583445.54,14,Ontario,2025-11-11,Excel,Normal,Quote is within expected range
Q00409,BudgetSource,Concrete,170.8,1351,230750.3,4,New York,2025-11-02,CSV,Normal,Quote is within expected range
Q00333,RapidSupply,Concrete,206.16,869,179150.16,11,Michigan,2025-08-18,CSV,Normal,Quote is within expected range
Q00209,RapidSupply,Steel,1093.86,199,217678.05,7,Quebec,2025-05-01,PDF,Normal,Quote is within expected range
Q00614,ABC Suppliers,Aluminum,1323.74,254,336229.81,11,Ontario,2026-01-31,CSV,Normal,Quote is within expected range
Q00079,BuildCo,Steel,1032.74,206,212743.85,6,Quebec,2025-04-29,CSV,Normal,Quote is within expected range
Q00030,BudgetSource,Steel,750.16,466,349574.82,6,Quebec,2026-02-06,CSV,Normal,Quote is within expected range
Q00536,XYZ Materials,Wood,78.12,506,39527.07,8,Ontario,2025-07-18,Excel,Normal,Quote is within expected range
Q00696,BuildCo,Copper,8376.24,124,1038653.53,12,Ontario,2026-01-18,PDF,Normal,Quote is within expected range
Q00558,NorthSteel,Wood,70.44,107,7536.69,14,Michigan,2025-10-27,PDF,Normal,Quote is within expected range
Q00837,BudgetSource,Concrete,88.22,340,29994.64,3,New York,2025-11-17,PDF,Anomaly,Unit price is unusually low
Q00597,BuildCo,Aluminum,1712.15,267,457144.67,21,Ontario,2025-08-02,Excel,Normal,Quote is within expected range
Q00166,Maple Materials,Steel,998.6,88,87876.48,12,Ontario,2025-03-13,PDF,Normal,Quote is within expected range
Q00919,BuildCo,Wood,116.22,491,57063.76,31,Ontario,2025-05-22,PDF,Anomaly,High price and slow delivery
Q00496,Prime Industrial,Wood,86.36,467,40331.23,11,Ontario,2025-07-15,Excel,Normal,Quote is within expected range
Q00825,ABC Suppliers,Steel,253.21,257,65074.3,12,New York,2025-07-31,PDF,Anomaly,Unit price is unusually low
Q00066,Maple Materials,Steel,1199.91,228,273580.39,9,Michigan,2025-12-13,Excel,Normal,Quote is within expected range
Q00142,RapidSupply,Steel,1201.48,588,706473.17,5,Ontario,2025-08-14,PDF,Normal,Quote is within expected range
Q00926,Maple Materials,Wood,78.12,648,50618.72,52,Michigan,2025-03-04,Excel,Anomaly,Delivery time is unusually long
Q00828,XYZ Materials,Concrete,244.48,1400,342277.61,3,Michigan,2025-08-22,PDF,Anomaly,Large order has unexpectedly high unit price
Q00656,RapidSupply,Aluminum,1731.43,355,614659.13,16,New York,2025-03-07,Excel,Normal,Quote is within expected range
Q00332,BudgetSource,Concrete,144.76,468,67745.64,9,Ontario,2025-05-27,CSV,Normal,Quote is within expected range
Q00665,RapidSupply,Aluminum,1635.62,395,646071.4,11,Michigan,2025-04-25,Excel,Normal,Quote is within expected range
Q00250,NorthSteel,Concrete,174.26,1442,251276.13,4,New York,2026-02-04,PDF,Normal,Quote is within expected range
Q00908,Prime Industrial,Wood,113.07,499,56421.0,46,Michigan,2025-12-16,Excel,Anomaly,High price and slow delivery
Q00709,NorthSteel,Copper,6872.6,106,728495.83,14,New York,2025-12-22,CSV,Normal,Quote is within expected range
Q00306,RapidSupply,Concrete,212.53,1081,229748.12,11,Michigan,2025-12-02,CSV,Normal,Quote is within expected range
Q00735,XYZ Materials,Copper,9601.28,128,1228963.46,11,Michigan,2025-11-11,CSV,Normal,Quote is within expected range
Q00976,ABC Suppliers,Copper,13917.23,95,1322136.53,50,Quebec,2025-09-24,Excel,Anomaly,High price and slow delivery
Q00050,ABC Suppliers,Steel,783.14,333,260785.56,10,Ontario,2025-11-21,CSV,Normal,Quote is within expected range
Q00897,XYZ Materials,Wood,90.32,949,85717.0,11,New York,2025-11-10,PDF,Anomaly,Large order has unexpectedly high unit price
Q00003,Prime Industrial,Steel,996.27,479,477211.51,14,Ontario,2025-10-15,PDF,Normal,Quote is within expected range
Q00545,BuildCo,Wood,40.55,892,36168.2,8,New York,2026-01-16,CSV,Normal,Quote is within expected range
Q00351,BudgetSource,Concrete,174.92,518,90606.61,6,Quebec,2025-12-23,Excel,Normal,Quote is within expected range
Q00905,BuildCo,Wood,111.96,888,99418.38,44,Quebec,2025-09-11,CSV,Anomaly,High price and slow delivery
Q00537,BudgetSource,Wood,53.86,738,39751.08,10,Ontario,2026-02-07,Excel,Normal,Quote is within expected range
Q00345,BudgetSource,Concrete,151.67,395,59910.48,3,Quebec,2025-04-26,CSV,Normal,Quote is within expected range
